Month ID,Month,State ID,State,Daily Cases,Daily Deaths,Daily Hospitalized,Daily Suspect,Accum Cases,Accum Deaths,Accum Hospitalized,Accum Suspect,Days Between Ingress and Death,New Cases Report,New Deaths Report,New Hospitalized Report,New Suspect Report,Accum Cases Report,Accum Deaths Report,Accum Hospitalized Report,Accum Suspect Report,AVG 7 Days Daily Cases,AVG 7 Days Accum Cases,AVG 7 Days Daily Deaths,AVG 7 Days Accum Deaths,AVG 7 New Cases Report,AVG 7 Accum Cases Report,AVG 7 New Deaths Report,AVG 7 Accum Deaths Report,Last 7 Daily Cases,Last 7 Daily Deaths,Last 7 Accum Cases,Last 7 Accum Deaths,Last 7 New Cases Report,Last 7 Accum Cases Report,Last 7 New Deaths Report,Last 7 Accum Deaths Report,Rate Daily Cases,Rate Accum Cases,Rate Daily Deaths,Rate Accum Deaths,Rate New Cases Report,Rate Accum Cases Report,Rate New Deaths Report,Rate Accum Deaths Report,Days from 50 Cases,Days from 10 Deaths
1,2020-01,22,Querétaro,0,0,0,259,0,0,0,2983,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,23,Quintana Roo,0,0,0,62,0,0,0,951,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,24,San Luis Potosí,0,0,0,223,0,0,0,2337,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,25,Sinaloa,1,0,0,125,3,0,0,1219,,0,0,0,0,0,0,0,0,0.018633541205654972,0.03726708176343337,0,0,0,0,0,0,0.10344827586206896,0,0.20689655172413793,0,0,0,0,0,0.0010923762516728763,0.003277128755018629,0,0,0,0,0,0,0,0
1,2020-01,26,Sonora,0,0,0,97,0,0,0,1105,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,27,Tabasco,0,0,0,36,0,0,0,512,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,28,Tamaulipas,0,0,0,58,0,0,0,916,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,29,Tlaxcala,0,0,0,147,0,0,0,2198,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,30,Veracruz de Ignacio de la Llave,0,0,0,166,0,0,0,2050,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,31,Yucatán,0,0,0,73,0,0,0,1019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2020-01,32,Zacatecas,0,0,0,77,0,0,0,1018,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,1,Aguascalientes,0,0,0,144,0,0,0,6187,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,2,Baja California,0,0,0,211,0,0,0,9062,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,3,Baja California Sur,0,0,0,158,0,0,0,3846,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,4,Campeche,0,0,0,13,0,0,0,824,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,5,Coahuila de Zaragoza,1,0,0,328,2,0,0,10625,,0,0,0,0,0,0,0,0,0.009852217189196882,0.014778325783795324,0,0,0,0,0,0,0.06896551724137931,0,0.10344827586206896,0,0,0,0,0,0.0010713189840316772,0.0021426379680633545,0,0,0,0,0,0,0,0
2,2020-02,6,Colima,0,0,0,98,0,0,0,2783,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,7,Chiapas,1,0,0,44,1,0,0,2386,,0,0,0,0,0,0,0,0,0.004926108594598441,0.004926108594598441,0,0,0,0,0,0,0.034482758620689655,0,0.034482758620689655,0,0,0,0,0,0.0006017548128448684,0.0006017548128448684,0,0,0,0,0,0,0,0
2,2020-02,8,Chihuahua,1,0,0,75,35,0,0,3631,,0,0,0,0,0,0,0,0,0.029556651567590648,1.103448275862069,0,0,0,0,0,0,0.20689655172413793,0,7.724137931034483,0,0,0,0,0,0.0009070860286211146,0.03174801100173901,0,0,0,0,0,0,0,0
2,2020-02,9,Ciudad de México,5,0,3,451,17,0,8,24734,,0,0,0,0,0,0,0,0,0.08374384508050721,0.20689655429330364,0,0,0,0,0,0,0.5862068965517241,0,1.4482758620689655,0,0,0,0,0,0.0019117483291132696,0.006499944318985117,0,0,0,0,0,0,0,0
2,2020-02,10,Durango,0,0,0,119,0,0,0,4151,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,11,Guanajuato,0,0,0,760,0,0,0,18881,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,12,Guerrero,0,0,0,39,0,0,0,1458,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,13,Hidalgo,1,0,0,164,3,0,0,8444,,0,0,0,0,0,0,0,0,0.014778325783795324,0.0295566510537575,0,0,0,0,0,0,0.10344827586206896,0,0.20689655172413793,0,0,0,0,0,0.0011172434636231127,0.003351730390869338,0,0,0,0,0,0,0,0
2,2020-02,14,Jalisco,0,0,0,656,0,0,0,38761,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,15,Estado de México,1,0,0,180,2,0,0,10815,,0,0,0,0,0,0,0,0,0.009852217189196882,0.014778325783795324,0,0,0,0,0,0,0.06896551724137931,0,0.10344827586206896,0,0,0,0,0,0.00019786076555991996,0.0003957215311198399,0,0,0,0,0,0,0,0
2,2020-02,16,Michoacán de Ocampo,0,0,0,57,0,0,0,1939,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,17,Morelos,0,0,0,136,0,0,0,5732,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,18,Nayarit,0,0,0,141,0,0,0,6411,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,19,Nuevo León,0,0,0,810,29,0,0,43407,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.017824824899435043,0,0,0,0,0,0,0,0
2,2020-02,20,Oaxaca,0,0,0,59,0,0,0,2422,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,21,Puebla,1,0,0,108,8,0,0,5709,,0,0,0,0,0,0,0,0,0.03448276016218909,0.172413795672614,0,0,0,0,0,0,0.2413793103448276,0,1.206896551724138,0,0,0,0,0,0.0005221139190012011,0.004176911352009609,0,0,0,0,0,0,0,0
2,2020-02,22,Querétaro,1,0,1,273,20,0,20,11437,,0,0,0,0,0,0,0,0,0.03448276016218909,0.5862068991208899,0,0,0,0,0,0,0.2413793103448276,0,4.103448275862069,0,0,0,0,0,0.0015126425644447063,0.030252851288894128,0,0,0,0,0,0,0,0
2,2020-02,23,Quintana Roo,0,0,0,46,0,0,0,2446,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2020-02,24,San Luis Potosí,0,0,0,386,0,0,0,12055,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
